CO_IES|NO_IES|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_CURSO|NO_CURSO|CO_OCDE|NO_OCDE|CO_OCDE_AREA_GERAL|NO_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_AREA_DETALHADA|CO_GRAU_ACADEMICO|CO_MODALIDADE_ENSINO|CO_NIVEL_ACADEMICO|IN_GRATUITO|TP_ATRIBUTO_INGRESSO|CO_LOCAL_OFERTA_IES|CO_MUNICIPIO_CURSO|NO_MUNICIPIO_CURSO|CO_UF_CURSO|SGL_UF_CURSO|NO_REGIAO_CURSO|NU_CARGA_HORARIA|DT_INICIO_FUNCIONAMENTO|DT_AUTORIZACAO_CURSO|IN_AJUDA_DEFICIENTE|IN_MATERIAL_DIGITAL|IN_MATERIAL_IMPRESSO|IN_MATERIAL_AUDIO|IN_MATERIAL_BRAILLE|IN_DISCIPLINA_LIBRAS|IN_GUIA_INTERPRETE|IN_MATERIAL_LIBRAS|IN_SINTESE_VOZ|IN_TRADUTOR_LIBRAS|IN_INTEGRAL_CURSO|IN_MATUTINO_CURSO|IN_NOTURNO_CURSO|IN_VESPERTINO_CURSO|NU_PERC_CARGA_HOR_DISTANCIA|NU_INTEGRALIZACAO_MATUTINO|NU_INTEGRALIZACAO_VESPERTINO|NU_INTEGRALIZACAO_NOTURNO|NU_INTEGRALIZACAO_INTEGRAL|IN_OFERECE_DISC_DISTANCIA|IN_UTILIZA_LABORATORIO|QT_INSCRITOS_ANO_EAD|QT_VAGAS_ANUAL_EAD|QT_VAGAS_INTEGRAL_PRES|QT_VAGAS_MATUTINO_PRES|QT_VAGAS_NOTURNO_PRES|QT_VAGAS_VESPERTINO_PRES|QT_INSCRITOS_MATUTINO_PRES|QT_INSCRITOS_VESPERTINO_PRES|QT_INSCRITOS_NOTURNO_PRES|QT_INSCRITOS_INTEGRAL_PRES|QT_MATRICULA_CURSO|QT_CONCLUINTE_CURSO|QT_INGRESSO_CURSO|QT_INGRESSO_PROCESSO_SELETIVO|QT_INGRESSO_OUTRA_FORMA
367|UNIVERSIDADE ESTADUAL DE MONTES CLAROS|2|Pública Estadual|1|Universidade|120793|PEDAGOGIA|142P01|Pedagogia|1|Educação|14|Formação de professor e ciências da educação|142|Ciências da educação|2|2|1|1|0|||||||3920|31OCT2008:00:00:00||1|1|0|0|1|0|0|0|1|0|0|0|0|0|||||||1|0|0|||||||||24|0|0|0|0
665|UNIVERSIDADE DE TAUBATÉ|3|Pública Municipal|1|Universidade|1152596|GESTÃO DE RECURSOS HUMANOS|345G09|Gestão de pessoal / recursos humanos|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|3|2|1|0|0|||||||1800|||0||||||||||0|0|0|0|||||||0|94|360|||||||||25|0|31|31|0
367|UNIVERSIDADE ESTADUAL DE MONTES CLAROS|2|Pública Estadual|1|Universidade|120546|CIÊNCIAS BIOLÓGICAS|145F01|Formação de professor de biologia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||3920|31OCT2008:00:00:00||1|1|0|0|1|0|0|0|1|0|0|0|0|0|||||||1|0|0|||||||||24|0|0|0|0
585|UNIVERSIDADE FEDERAL DE SANTA CATARINA|1|Pública Federal|1|Universidade|99482|FÍSICA|145F09|Formação de professor de física|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||3000|22FEB2006:00:00:00||1|1|1|1|0|1|1|1|1|1|0|0|0|0|||||||1|0|0|||||||||125|0|16|0|16
575|UNIVERSIDADE FEDERAL DE MINAS GERAIS|1|Pública Federal|1|Universidade|121519|MATEMÁTICA|145F18|Formação de professor de matemática|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||3090|02MAR2009:00:00:00||0||||||||||0|0|0|0|||||||1|0|0|||||||||16|0|0|0|0
575|UNIVERSIDADE FEDERAL DE MINAS GERAIS|1|Pública Federal|1|Universidade|120715|CIÊNCIAS BIOLÓGICAS|145F01|Formação de professor de biologia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|1|0|||||||2800|25FEB2008:00:00:00||1|0|1|0|0|1|0|0|0|0|0|0|0|0|||||||1|90|50|||||||||52|0|52|51|1
532|UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL|5|Privada sem fins lucrativos|1|Universidade|90383|GEOGRAFIA|145F10|Formação de professor de geografia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|2|1|0|0|||||||2810|16JAN2006:00:00:00||1|0|0|0|1|1|0|1|1|1|0|0|0|0|||||||1|25|68|||||||||93|21|46|22|24
575|UNIVERSIDADE FEDERAL DE MINAS GERAIS|1|Pública Federal|1|Universidade|115276|PEDAGOGIA|142P01|Pedagogia|1|Educação|14|Formação de professor e ciências da educação|142|Ciências da educação|2|2|1|1|0|||||||3210|25FEB2008:00:00:00||0||||||||||0|0|0|0|||||||1|0|0|||||||||45|0|1|0|1
575|UNIVERSIDADE FEDERAL DE MINAS GERAIS|1|Pública Federal|1|Universidade|116792|PEDAGOGIA|142P01|Pedagogia|1|Educação|14|Formação de professor e ciências da educação|142|Ciências da educação|2|2|1|1|0|||||||3210|25FEB2008:00:00:00||0||||||||||0|0|0|0|||||||0|0|0|||||||||35|0|0|0|0
829|UNIVERSIDADE DO TOCANTINS|2|Pública Estadual|1|Universidade|110982|ANÁLISE E DESENVOLVIMENTO DE SISTEMAS|483A02|Análise e Desenvolvimento de Sistemas (Tecnólogo)|4|Ciências, matemática e computação|48|Computação|483|Processamento da informação|3|2|1|1|0|||||||2010|28FEB2007:00:00:00||0||||||||||0|0|0|0|||||||0|0|0|||||||||3975|1983|0|0|0
