CO_IES|NO_IES|CO_CATEGORIA_ADMINISTRATIVA|DS_CATEGORIA_ADMINISTRATIVA|CO_ORGANIZACAO_ACADEMICA|DS_ORGANIZACAO_ACADEMICA|CO_CURSO|NO_CURSO|CO_OCDE|NO_OCDE|CO_OCDE_AREA_GERAL|NO_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_AREA_DETALHADA|CO_GRAU_ACADEMICO|CO_MODALIDADE_ENSINO|CO_NIVEL_ACADEMICO|IN_GRATUITO|TP_ATRIBUTO_INGRESSO|CO_LOCAL_OFERTA_IES|CO_MUNICIPIO_CURSO|NO_MUNICIPIO_CURSO|CO_UF_CURSO|SGL_UF_CURSO|NO_REGIAO_CURSO|NU_CARGA_HORARIA|DT_INICIO_FUNCIONAMENTO|DT_AUTORIZACAO_CURSO|IN_AJUDA_DEFICIENTE|IN_MATERIAL_DIGITAL|IN_MATERIAL_IMPRESSO|IN_MATERIAL_AUDIO|IN_MATERIAL_BRAILLE|IN_DISCIPLINA_LIBRAS|IN_GUIA_INTERPRETE|IN_MATERIAL_LIBRAS|IN_SINTESE_VOZ|IN_TRADUTOR_LIBRAS|IN_INTEGRAL_CURSO|IN_MATUTINO_CURSO|IN_NOTURNO_CURSO|IN_VESPERTINO_CURSO|NU_PERC_CARGA_HOR_DISTANCIA|NU_INTEGRALIZACAO_MATUTINO|NU_INTEGRALIZACAO_VESPERTINO|NU_INTEGRALIZACAO_NOTURNO|NU_INTEGRALIZACAO_INTEGRAL|IN_OFERECE_DISC_DISTANCIA|IN_UTILIZA_LABORATORIO|QT_INSCRITOS_ANO_EAD|QT_VAGAS_ANUAL_EAD|QT_VAGAS_INTEGRAL_PRES|QT_VAGAS_MATUTINO_PRES|QT_VAGAS_NOTURNO_PRES|QT_VAGAS_VESPERTINO_PRES|QT_INSCRITOS_MATUTINO_PRES|QT_INSCRITOS_VESPERTINO_PRES|QT_INSCRITOS_NOTURNO_PRES|QT_INSCRITOS_INTEGRAL_PRES|QT_MATRICULA_CURSO|QT_CONCLUINTE_CURSO|QT_INGRESSO_CURSO|QT_INGRESSO_PROCESSO_SELETIVO|QT_INGRESSO_OUTRA_FORMA
1772|FACULDADE NORDESTE|4|Privada com fins lucrativos|3|Faculdade|108284|CONSTRUÇÃO DE EDIFÍCIOS|582T02|Tecnologia de edificação|5|Engenharia, produção e construção|58|Arquitetura e construção|582|Engenharia civil e de construção|3|1|1|0|0|1046258|2304400|FORTALEZA|23|CE|Nordeste|2400|28JAN2008:00:00:00||1|0|0|0|0|1|0|1|0|0|0|0|1|0||||6||0|1|||||200||||109||148|0|87|70|17
583|UNIVERSIDADE FEDERAL DO CEARÁ|1|Pública Federal|1|Universidade|150115|CIÊNCIAS AMBIENTAIS|421C01|Ciências biológicas|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|1|1|1|1|0|600051|2304400|FORTALEZA|23|CE|Nordeste|3200|24JUL2009:00:00:00||0||||||||||1|0|0|0|||||8|0|1|||40|||||||138|38|0|40|40|0
1807|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|5000146|QUÍMICA|145F21|Formação de professor de química|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|1|1|1|0|1049585|2305506|IGUATU|23|CE|Nordeste|3375|26JUN2009:00:00:00||0||||||||||0|0|1|0||||7||0|1|||||60||||422||77|0|75|72|3
29|UNIVERSIDADE ESTADUAL DO CEARÁ|2|Pública Estadual|1|Universidade|66299|CIÊNCIAS BIOLÓGICAS|145F01|Formação de professor de biologia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|1|1|1|0|202|2305506|IGUATU|23|CE|Nordeste|3332|18AUG2003:00:00:00||1|0|0|0|0|1|0|0|0|0|0|1|1|0||9||9||0|1||||40|0||105||0||117|11|21|20|1
1807|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|90979|ALIMENTOS|541T01|Tecnologia de alimentos|5|Engenharia, produção e construção|54|Produção e processamento|541|Processamento de alimentos|3|1|1|1|0|702014|2312908|SOBRAL|23|CE|Nordeste|2400|03APR2006:00:00:00||0||||||||||1|0|0|0|||||6|0|1|||30|||||||905|126|36|33|33|0
29|UNIVERSIDADE ESTADUAL DO CEARÁ|2|Pública Estadual|1|Universidade|66303|CIÊNCIAS BIOLÓGICAS|145F01|Formação de professor de biologia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|1|1|1|0|204|2313302|TAUA|23|CE|Nordeste|3332|24MAR2003:00:00:00||1|0|0|0|0|1|0|0|0|0|0|1|1|0||8||8||0|1||||40|0||179||0||103|40|14|13|1
29|UNIVERSIDADE ESTADUAL DO CEARÁ|2|Pública Estadual|1|Universidade|66305|QUÍMICA|145F21|Formação de professor de química|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|1|1|1|0|204|2313302|TAUA|23|CE|Nordeste|3128|24MAR2003:00:00:00||1|0|0|0|0|1|0|0|0|0|0|1|1|0||8||8||0|1||||35|0||92||0||61|15|2|2|0
1807|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|1127582|FÍSICA|145F09|Formação de professor de física|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|1|1|1|0|150506|2313401|TIANGUA|23|CE|Nordeste|3440|02AUG2010:00:00:00||0||||||||||0|0|1|0||||8||0|1|||||30||||45||27|0|40|40|0
29|UNIVERSIDADE ESTADUAL DO CEARÁ|2|Pública Estadual|1|Universidade|66248|MEDICINA|721M01|Medicina|7|Saúde e bem estar social|72|Saúde|721|Medicina|1|1|1|1|0|657688|2304400|FORTALEZA|23|CE|Nordeste|9668|24MAR2003:00:00:00||0||||||||||0|1|0|0||12||||0|1||||40|||2616||||272|77|36|36|0
555|UNIVERSIDADE DE FORTALEZA|5|Privada sem fins lucrativos|1|Universidade|112398|BELAS ARTES - ARTES CÊNICAS|211B01|Belas artes|2|Humanidades e artes|21|Artes|211|Belas artes|1|1|1|0|0|657967|2304400|FORTALEZA|23|CE|Nordeste|2502|04AUG2008:00:00:00||1|0|0|0|1|1|0|0|1|1|0|0|0|1|||7|||0|1||||||120||27|||6|0|0|0|0
29|UNIVERSIDADE ESTADUAL DO CEARÁ|2|Pública Estadual|1|Universidade|59268|QUÍMICA|145F21|Formação de professor de química|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|1|1|1|0|203|2306405|ITAPIPOCA|23|CE|Nordeste|3128|13AUG2001:00:00:00||1|0|0|0|0|1|0|0|0|0|0|1|1|0||8||8||0|1||||25|0||142||0||120|6|23|23|0
2111|INSTITUTO SUPERIOR DE TEOLOGIA APLICADA|5|Privada sem fins lucrativos|3|Faculdade|65181|TEOLOGIA|221T01|Teologia|2|Humanidades e artes|22|Humanidades e letras|221|Religião e teologia|1|1|1|0|0|658982|2312908|SOBRAL|23|CE|Nordeste|2430|15DEC2003:00:00:00||1|0|0|0|0|1|1|0|0|1|0|0|1|0||||6||0|0|||||50||||30||83|9|47|46|1
583|UNIVERSIDADE FEDERAL DO CEARÁ|1|Pública Federal|1|Universidade|99344|ENGENHARIA CIVIL|582E03|Engenharia civil|5|Engenharia, produção e construção|58|Arquitetura e construção|582|Engenharia civil e de construção|1|1|1|1|0|7984|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|3600|18SEP2006:00:00:00||0||||||||||1|0|0|0|||||10|0|1|||50|||||||443|177|0|51|49|2
1556|FACULDADE SETE DE SETEMBRO|4|Privada com fins lucrativos|3|Faculdade|37339|ADMINISTRAÇÃO - GESTÃO FINANCEIRA|345A01|Administração|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|1|1|1|0|0|658576|2304400|FORTALEZA|23|CE|Nordeste|3200|01MAR2001:00:00:00||1|1|1|1|0|1|0|1|0|1|0|1|1|0||8||8||0|1||||0|0||0||0||1|0|0|0|0
1735|FACULDADE DE CIÊNCIAS APLICADAS DOUTOR LEÃO SAMPAIO|4|Privada com fins lucrativos|3|Faculdade|97445|PSICOLOGIA|311P02|Psicologia|3|Ciências sociais, negócios e direito|31|Ciências sociais e comportamentais|311|Psicologia|1|1|1|0|0|4201|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|4810|06DEC2006:00:00:00||1|1|1|1|1|1|1|1|0|1|0|1|1|0||10||10||0|1||||100|100||130||145||805|0|233|225|8
2111|INSTITUTO SUPERIOR DE TEOLOGIA APLICADA|5|Privada sem fins lucrativos|3|Faculdade|106818|PEDAGOGIA|142P01|Pedagogia|1|Educação|14|Formação de professor e ciências da educação|142|Ciências da educação|2|1|1|0|0|658982|2312908|SOBRAL|23|CE|Nordeste|3200|10MAR2008:00:00:00||1|0|0|0|0|1|1|1|0|1|0|0|1|0||||8||0|1|||||50||||95||186|0|66|62|4
1735|FACULDADE DE CIÊNCIAS APLICADAS DOUTOR LEÃO SAMPAIO|4|Privada com fins lucrativos|3|Faculdade|90432|SERVIÇO SOCIAL|762S01|Serviço social|7|Saúde e bem estar social|76|Serviço social|762|Serviço social e orientação|1|1|1|0|0|4201|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|3000|28DEC2005:00:00:00||1|1|1|1|1|1|1|1|0|1|0|1|1|0||8||8||0|1||||100|100||142||283||969|160|254|235|19
1819|FACULDADE FARIAS BRITO|4|Privada com fins lucrativos|3|Faculdade|50648|DIREITO|380D01|Direito|3|Ciências sociais, negócios e direito|38|Direito|380|Direito|1|1|1|0|0|658786|2304400|FORTALEZA|23|CE|Nordeste|4008|08OCT2001:00:00:00||1|1|1|1|0|1|0|1|1|1|0|1|1|0||10||10||0|1||||100|50||241||182||728|109|119|119|0
1735|FACULDADE DE CIÊNCIAS APLICADAS DOUTOR LEÃO SAMPAIO|4|Privada com fins lucrativos|3|Faculdade|90529|ENFERMAGEM|723E01|Enfermagem|7|Saúde e bem estar social|72|Saúde|723|Enfermagem e atenção primária (assistência básica)|1|1|1|0|0|4201|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|4100|28DEC2005:00:00:00||1|1|1|1|1|1|1|1|0|1|0|1|1|0||10||10||0|1||||100|100||166||150||1111|197|237|217|20
2135|FACULDADE CATÓLICA RAINHA DO SERTÃO|5|Privada sem fins lucrativos|3|Faculdade|117781|ENGENHARIA MECÂNICA|521E05|Engenharia mecânica|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|521|Engenharia mecânica e metalurgia (trabalhos com metais)|1|1|1|0|0|3317|2311306|QUIXADA|23|CE|Nordeste|3600|19DEC2008:00:00:00||1|0|0|0|0|1|0|0|0|0|1|0|0|0|||||10|0|1|||90|||||||48|12|0|1|1|0
1735|FACULDADE DE CIÊNCIAS APLICADAS DOUTOR LEÃO SAMPAIO|4|Privada com fins lucrativos|3|Faculdade|120140|GESTÃO DE RECURSOS HUMANOS|345G09|Gestão de pessoal / recursos humanos|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|3|1|1|0|0|696831|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|1717|02APR2009:00:00:00||1|1|1|1|1|1|1|1|0|1|0|0|1|0||||4||0|1|||||100||||167||204|0|109|103|6
1895|FACULDADE CHRISTUS|4|Privada com fins lucrativos|3|Faculdade|52783|FISIOTERAPIA|726F01|Fisioterapia|7|Saúde e bem estar social|72|Saúde|726|Terapia e reabilitação|1|1|1|0|0|3349|2304400|FORTALEZA|23|CE|Nordeste|4000|05MAR2002:00:00:00||1|0|1|0|0|1|0|0|0|0|0|1|0|1||9|9|||0|1||||100||50|100|10|||317|59|22|22|0
1735|FACULDADE DE CIÊNCIAS APLICADAS DOUTOR LEÃO SAMPAIO|4|Privada com fins lucrativos|3|Faculdade|73168|EDUCAÇÃO FÍSICA|146F15|Formação de professor de educação física|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|2|1|1|0|0|4201|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|3280|31JAN2005:00:00:00||1|1|1|1|1|1|1|1|0|1|0|1|1|0||8||8||0|1||||50|50||0||177||370|3|121|112|9
1658|FACULDADE INTEGRADA DA GRANDE FORTALEZA|4|Privada com fins lucrativos|3|Faculdade|56215|GERÊNCIA DE CLÍNICAS E HOSPITAIS|345A07|Administração hospitalar|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração||1|2|0|0|696081|2304400|FORTALEZA|23|CE|Nordeste|1600|21FEB2000:00:00:00||1|0|0|0|0|1|0|0|0|0|0|1|1|0|20|4||4||1|1||||180|180||0||0||5|0|0|0|0
583|UNIVERSIDADE FEDERAL DO CEARÁ|1|Pública Federal|1|Universidade|99342|BIBLIOTECONOMIA|322B01|Biblioteconomia|3|Ciências sociais, negócios e direito|32|Jornalismo e informação|322|Biblioteconomia, informação, arquivos|1|1|1|1|0|7984|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|3200|18SEP2006:00:00:00||0||||||||||1|0|0|0|||||8|0|1|||50|||||||251|154|14|52|49|3
2135|FACULDADE CATÓLICA RAINHA DO SERTÃO|5|Privada sem fins lucrativos|3|Faculdade|68998|ENFERMAGEM|723E01|Enfermagem|7|Saúde e bem estar social|72|Saúde|723|Enfermagem e atenção primária (assistência básica)|1|1|1|0|0|3317|2311306|QUIXADA|23|CE|Nordeste|4000|12JAN2004:00:00:00||1|0|0|0|0|1|0|0|0|0|1|0|0|0|||||9|0|1|||80|||||||194|336|68|44|37|7
583|UNIVERSIDADE FEDERAL DO CEARÁ|1|Pública Federal|1|Universidade|99340|ADMINISTRAÇÃO|345A01|Administração|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|1|1|1|1|0|7984|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|3104|18SEP2006:00:00:00||0||||||||||0|0|1|0||||9||0|1|||||50||||716||170|9|60|45|15
2135|FACULDADE CATÓLICA RAINHA DO SERTÃO|5|Privada sem fins lucrativos|3|Faculdade|88897|BIOMEDICINA|421B07|Biomedicina|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|1|1|1|0|0|3317|2311306|QUIXADA|23|CE|Nordeste|3200|14NOV2005:00:00:00||1|0|0|0|0|1|0|0|0|0|1|0|0|0|||||8|0|1|||100|||||||38|21|0|5|4|1
583|UNIVERSIDADE FEDERAL DO CEARÁ|1|Pública Federal|1|Universidade|150097|MÚSICA|146F20|Formação de professor de música|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|2|1|1|1|0|7984|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|3226|18FEB2010:00:00:00||0||||||||||1|0|0|0|||||8|0|0|||40|||||||155|35|0|39|39|0
583|UNIVERSIDADE FEDERAL DO CEARÁ|1|Pública Federal|1|Universidade|106167|SISTEMA DE INFORMAÇÃO|483S02|Sistemas de informação|4|Ciências, matemática e computação|48|Computação|483|Processamento da informação|1|1|1|1|0|7986|2311306|QUIXADA|23|CE|Nordeste|3008|17SEP2007:00:00:00||0||||||||||1|0|0|0|||||8|0|1|||50|||||||469|119|0|52|49|3
583|UNIVERSIDADE FEDERAL DO CEARÁ|1|Pública Federal|1|Universidade|150095|JORNALISMO|321J01|Jornalismo|3|Ciências sociais, negócios e direito|32|Jornalismo e informação|321|Jornalismo e reportagem|1|1|1|1|0|600033|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|3184|14FEB2010:00:00:00||0||||||||||0|0|1|0||||8||0|1|||||50||||583||44|0|48|48|0
1819|FACULDADE FARIAS BRITO|4|Privada com fins lucrativos|3|Faculdade|95893|MARKETING|342M02|Mercadologia (marketing)|3|Ciências sociais, negócios e direito|34|Comércio e administração|342|Marketing e publicidade|1|1|1|0|0|658786|2304400|FORTALEZA|23|CE|Nordeste|3176|29JAN2007:00:00:00||1|1|1|1|0|1|0|1|1|1|0|1|1|0||8||8||0|1||||100|100||24||17||40|6|9|9|0
1807|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|89472|EDUCAÇÃO FÍSICA|146F15|Formação de professor de educação física|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|2|1|1|1|0|2372|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|3860|01AUG2005:00:00:00||0||||||||||0|0|0|1|||7|||0|1||||||55||385|||287|29|59|59|0
1772|FACULDADE NORDESTE|4|Privada com fins lucrativos|3|Faculdade|95170|FISIOTERAPIA|726F01|Fisioterapia|7|Saúde e bem estar social|72|Saúde|726|Terapia e reabilitação|1|1|1|0|0|102260|2304400|FORTALEZA|23|CE|Nordeste|4036|01FEB2004:00:00:00||1|0|0|0|0|1|0|1|0|0|0|1|0|1||10|10|||0|1||||60||40|229|10|||364|63|55|45|10
746|UNIVERSIDADE REGIONAL DO CARIRI|2|Pública Estadual|1|Universidade|24587|CONSTRUÇÃO CIVIL - TOPOGRAFIA E ESTRADAS|582C04|Construção civil|5|Engenharia, produção e construção|58|Arquitetura e construção|582|Engenharia civil e de construção|3|1|1|1|0|689|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|2010|18DEC1975:00:00:00||0||||||||||0|0|1|0||||5||0|0|||||25||||896||71|1|33|33|0
1772|FACULDADE NORDESTE|4|Privada com fins lucrativos|3|Faculdade|95164|ARQUITETURA E URBANISMO|581A05|Arquitetura e urbanismo|5|Engenharia, produção e construção|58|Arquitetura e construção|581|Arquitetura e urbanismo|1|1|1|0|0|102260|2304400|FORTALEZA|23|CE|Nordeste|3636|01FEB2004:00:00:00||1|0|0|0|0|1|0|1|0|0|0|1|1|0||10||10||0|1||||50|50||148||66||239|9|96|72|24
746|UNIVERSIDADE REGIONAL DO CARIRI|2|Pública Estadual|1|Universidade|16601|ENGENHARIA DE PRODUÇÃO|520E05|Engenharia de produção|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|520|Engenharia e profissões de engenharia (cursos gerais)|1|1|1|1|0|689|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|3855|22DEC1993:00:00:00||0||||||||||0|1|0|0||10||||0|0||||35|||35||||228|6|32|32|0
29|UNIVERSIDADE ESTADUAL DO CEARÁ|2|Pública Estadual|1|Universidade|58588|MATEMÁTICA|145F18|Formação de professor de matemática|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|1|1|1|0|194|2311306|QUIXADA|23|CE|Nordeste|3230|19AUG2002:00:00:00||1|0|0|0|0|1|0|0|0|0|0|1|1|1||8|8|8||0|0||||30|0|0|31|0|0||232|20|17|16|1
1807|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|63395|AUTOMAÇÃO INDUSTRIAL|520A01|Automação industrial|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|520|Engenharia e profissões de engenharia (cursos gerais)|3|1|1|1|0|2372|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|2935|03FEB2000:00:00:00||0||||||||||0|1|1|0||7||7||0|1||||30|25||150||113||226|17|57|57|0
1556|FACULDADE SETE DE SETEMBRO|4|Privada com fins lucrativos|3|Faculdade|48608|CIÊNCIAS CONTÁBEIS|344C02|Ciências contábeis|3|Ciências sociais, negócios e direito|34|Comércio e administração|344|Contabilidade e tributação|1|1|1|0|0|658576|2304400|FORTALEZA|23|CE|Nordeste|3000|25FEB2002:00:00:00||1|1|1|1|0|1|0|1|0|1|0|0|1|0||||8||0|1|||||100||||55||271|30|71|32|39
1807|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|84378|CONSTRUÇÃO DE EDIFÍCIOS|582T02|Tecnologia de edificação|5|Engenharia, produção e construção|58|Arquitetura e construção|582|Engenharia civil e de construção|3|1|1|1|0|2372|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|3460|14FEB2002:00:00:00||0||||||||||0|1|1|0||7||7||0|1||||0|0||0||0||135|3|0|0|0
1807|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|112840|ENGENHARIA AMBIENTAL E SANITÁRIA|520E02|Engenharia ambiental|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|520|Engenharia e profissões de engenharia (cursos gerais)|1|1|1|1|0|25922|2307650|MARACANAU|23|CE|Nordeste|4760|02OCT2007:00:00:00||0||||||||||0|0|0|1|||10|||0|1||||||70||605|||239|0|97|80|17
3388|FACULDADE PARAÍSO DO CEARÁ|4|Privada com fins lucrativos|3|Faculdade|99820|SISTEMAS DE INFORMAÇÃO|483S02|Sistemas de informação|4|Ciências, matemática e computação|48|Computação|483|Processamento da informação|1|1|1|0|0|659473|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|3380|30JUL2007:00:00:00||1|1|1|1|0|1|0|0|1|1|0|1|1|0||8||8||0|1||||50|100||20||107||159|0|73|72|1
583|UNIVERSIDADE FEDERAL DO CEARÁ|1|Pública Federal|1|Universidade|5000499|SISTEMAS E MÍDIAS DIGITAIS|213P02|Produção de multimídia|2|Humanidades e artes|21|Artes|213|Técnicas audiovisuais e produção de mídia|1|1|1|1|0|600034|2304400|FORTALEZA|23|CE|Nordeste|3200|18FEB2010:00:00:00||0||||||||||1|0|0|0|||||8|0|1|||60|||||||311|59|0|59|59|0
4791|FACULDADE DE TECNOLOGIA CENTEC - CARIRI|5|Privada sem fins lucrativos|3|Faculdade|90983|SANEAMENTO AMBIENTAL|422S01|Saneamento ambiental|4|Ciências, matemática e computação|42|Ciências|422|Ciências ambientais|3|1|1|1|0|659933|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|2540|03APR2006:00:00:00||0||||||||||1|0|0|0|||||7|0|1|||45|||||||225|129|20|45|45|0
29|UNIVERSIDADE ESTADUAL DO CEARÁ|2|Pública Estadual|1|Universidade|114182|CIÊNCIAS BIOLÓGICAS|145F01|Formação de professor de biologia|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|1|1|1|0|200|2307601|LIMOEIRO DO NORTE|23|CE|Nordeste|3332|21MAR2000:00:00:00||1|0|0|0|0|1|0|0|0|0|0|1|1|1||9|9|9||0|1||||30|0|0|416|0|0||157|16|16|16|0
4791|FACULDADE DE TECNOLOGIA CENTEC - CARIRI|5|Privada sem fins lucrativos|3|Faculdade|90981|ELETROMECÂNICA|520M01|Manutenção industrial|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|520|Engenharia e profissões de engenharia (cursos gerais)|3|1|1|0|0|659933|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|2655|03APR2006:00:00:00||0||||||||||1|0|0|0|||||6|0|1|||0|||||||0|18|10|0|0|0
1556|FACULDADE SETE DE SETEMBRO|4|Privada com fins lucrativos|3|Faculdade|47069|SISTEMA DE INFORMAÇÃO|483S02|Sistemas de informação|4|Ciências, matemática e computação|48|Computação|483|Processamento da informação|1|1|1|0|0|658576|2304400|FORTALEZA|23|CE|Nordeste|3200|06AUG2001:00:00:00||1|1|1|1|0|1|0|1|0|1|0|1|1|0||8||8||0|1||||50|100||26||53||339|36|67|29|38
4791|FACULDADE DE TECNOLOGIA CENTEC - CARIRI|5|Privada sem fins lucrativos|3|Faculdade|115225|MANUTENÇÃO INDUSTRIAL|520M01|Manutenção industrial|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|520|Engenharia e profissões de engenharia (cursos gerais)|3|1|1|1|0|659933|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|2700|23JUL2008:00:00:00||0||||||||||1|0|0|0|||||7|0|1|||45|||||||201|106|13|44|44|0
1807|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|120080|ARTES VISUAIS|146F04|Formação de professor de artes visuais|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|2|1|1|1|0|1036719|2304400|FORTALEZA|23|CE|Nordeste|3480|10SEP2008:00:00:00||0||||||||||0|1|0|0||8||||0|1||||50|||144||||131|0|68|64|4
2593|FACULDADE DE JUAZEIRO DO NORTE|4|Privada com fins lucrativos|3|Faculdade|1071152|FARMÁCIA|727F01|Farmácia|7|Saúde e bem estar social|72|Saúde|727|Farmácia|1|1|1|0|0|139691|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|4380|12JUL2010:00:00:00||1|0|0|0|1|1|0|1|0|1|0|1|0|0||10||||0|1||||50|||85||||96|0|96|92|4
555|UNIVERSIDADE DE FORTALEZA|5|Privada sem fins lucrativos|1|Universidade|11718|FISIOTERAPIA|726F01|Fisioterapia|7|Saúde e bem estar social|72|Saúde|726|Terapia e reabilitação|1|1|1|0|0|657967|2304400|FORTALEZA|23|CE|Nordeste|4500|21MAR1973:00:00:00||1|0|0|0|1|1|0|0|1|1|1|0|0|0|2||||9|1|1|||180|||||||132|971|130|162|100|62
2593|FACULDADE DE JUAZEIRO DO NORTE|4|Privada com fins lucrativos|3|Faculdade|95191|ENFERMAGEM|723E01|Enfermagem|7|Saúde e bem estar social|72|Saúde|723|Enfermagem e atenção primária (assistência básica)|1|1|1|0|0|139691|2307304|JUAZEIRO DO NORTE|23|CE|Nordeste|4140|08JUN2006:00:00:00||1|0|0|0|1|1|0|1|0|1|0|1|0|0||10||||0|1||||120|||226||||463|126|123|106|17
1807|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|112150|ENGENHARIA DE TELECOMUNICAÇÕES|523E12|Engenharia de telecomunicações|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|523|Eletrônica e automação|1|1|1|1|0|1036719|2304400|FORTALEZA|23|CE|Nordeste|4000|02MAY2007:00:00:00||0||||||||||0|1|0|0||10||||0|1||||60|||782||||173|0|80|75|5
1807|INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ|1|Pública Federal|4|Instituto Federal de Educação, Ciência e Tecnologia|5000147|NUTRIÇÃO|726N02|Nutrição|7|Saúde e bem estar social|72|Saúde|726|Terapia e reabilitação|1|1|1|1|0|1046789|2307601|LIMOEIRO DO NORTE|23|CE|Nordeste|4020|03AUG2009:00:00:00||0||||||||||0|0|0|1|||8|||0|1||||||40||359|||80|0|34|34|0
29|UNIVERSIDADE ESTADUAL DO CEARÁ|2|Pública Estadual|1|Universidade|114180|QUÍMICA|145F21|Formação de professor de química|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|2|1|1|1|0|200|2307601|LIMOEIRO DO NORTE|23|CE|Nordeste|2970|21MAR2000:00:00:00||1|0|0|0|0|1|0|0|0|0|0|1|1|1||8|8|8||0|1||||35|0|0|41|0|0||157|28|7|7|0
