NU_ANO_CENSO|CO_IES|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_LOCAL_OFERTA|CO_UF|CO_MUNICIPIO|IN_CAPITAL|CO_CURSO|NO_CURSO|TP_SITUACAO|CO_CINE_ROTULO|TP_GRAU_ACADEMICO|TP_MODALIDADE_ENSINO|TP_NIVEL_ACADEMICO|IN_GRATUITO|TP_ATRIBUTO_INGRESSO|NU_CARGA_HORARIA|DT_INICIO_FUNCIONAMENTO|DT_AUTORIZACAO_CURSO|IN_AJUDA_DEFICIENTE|IN_MATERIAL_DIGITAL|IN_MATERIAL_AMPLIADO|IN_MATERIAL_TATIL|IN_MATERIAL_IMPRESSO|IN_MATERIAL_AUDIO|IN_MATERIAL_BRAILLE|IN_MATERIAL_LIBRAS|IN_DISCIPLINA_LIBRAS|IN_TRADUTOR_LIBRAS|IN_GUIA_INTERPRETE|IN_RECURSOS_COMUNICACAO|IN_RECURSOS_INFORMATICA|IN_INTEGRAL|IN_MATUTINO|IN_VESPERTINO|IN_NOTURNO|NU_INTEGRALIZACAO_INTEGRAL|NU_INTEGRALIZACAO_MATUTINO|NU_INTEGRALIZACAO_VESPERTINO|NU_INTEGRALIZACAO_NOTURNO|NU_INTEGRALIZACAO_EAD|IN_OFERECE_DISC_SEMI_PRES|NU_PERC_CARGA_SEMI_PRES|IN_POSSUI_LABORATORIO|QT_INSC_VAGA_NOVA_INTEGRAL|QT_INSC_VAGA_NOVA_MATUTINO|QT_INSC_VAGA_NOVA_VESPERTINO|QT_INSC_VAGA_NOVA_NOTURNO|QT_INSC_VAGA_NOVA_EAD|QT_INSC_VAGA_REMAN_INTEGRAL|QT_INSC_VAGA_REMAN_MATUTINO|QT_INSC_VAGA_REMAN_VESPERTINO|QT_INSC_VAGA_REMAN_NOTURNO|QT_INSC_VAGA_REMAN_EAD|QT_INSC_PROG_ESP_INTEGRAL|QT_INSC_PROG_ESP_MATUTINO|QT_INSC_PROG_ESP_VESPERTINO|QT_INSC_PROG_ESP_NOTURNO|QT_INSC_PROG_ESP_EAD|QT_INSC_PRINCIPAL_INTEGRAL|QT_INSC_PRINCIPAL_MATUTINO|QT_INSC_PRINCIPAL_VESPERTINO|QT_INSC_PRINCIPAL_NOTURNO|QT_INSC_PRINCIPAL_EAD|QT_INSC_OUTRA_VAGA_INTEGRAL|QT_INSC_OUTRA_VAGA_MATUTINO|QT_INSC_OUTRA_VAGA_VESPERTINO|QT_INSC_OUTRA_VAGA_NOTURNO|QT_INSC_OUTRA_VAGA_EAD|QT_INSC_ANUAL_INTEGRAL|QT_INSC_ANUAL_MATUTINO|QT_INSC_ANUAL_VESPERTINO|QT_INSC_ANUAL_NOTURNO|QT_INSC_ANUAL_EAD|QT_VAGAS_NOVAS_INTEGRAL|QT_VAGAS_NOVAS_MATUTINO|QT_VAGAS_NOVAS_VESPERTINO|QT_VAGAS_NOVAS_NOTURNO|QT_VAGAS_NOVAS_EAD|QT_VAGAS_REMAN_INTEGRAL|QT_VAGAS_REMAN_MATUTINO|QT_VAGAS_REMAN_VESPERTINO|QT_VAGAS_REMAN_NOTURNO|QT_VAGAS_REMAN_EAD|QT_VAGAS_PROG_ESP_INTEGRAL|QT_VAGAS_PROG_ESP_MATUTINO|QT_VAGAS_PROG_ESP_VESPERTINO|QT_VAGAS_PROG_ESP_NOTURNO|QT_VAGAS_PROG_ESP_EAD|QT_VAGAS_PRINCIPAL_INTEGRAL|QT_VAGAS_PRINCIPAL_MATUTINO|QT_VAGAS_PRINCIPAL_VESPERTINO|QT_VAGAS_PRINCIPAL_NOTURNO|QT_VAGAS_PRINCIPAL_EAD|QT_VAGAS_OUTRAS_INTEGRAL|QT_VAGAS_OUTRAS_MATUTINO|QT_VAGAS_OUTRAS_VESPERTINO|QT_VAGAS_OUTRAS_NOTURNO|QT_VAGAS_OUTRAS_EAD|QT_VAGAS_ANUAL_INTEGRAL|QT_VAGAS_ANUAL_MATUTINO|QT_VAGAS_ANUAL_VESPERTINO|QT_VAGAS_ANUAL_NOTURNO|QT_VAGAS_ANUAL_EAD|QT_MATRICULA_TOTAL|QT_CONCLUINTE_TOTAL|QT_INGRESSO_TOTAL|QT_INGRESSO_VAGA_NOVA|QT_INGRESSO_PROCESSO_SELETIVO|QT_VAGA_TOTAL|QT_INSCRITO_TOTAL
2019|1|1|1|105340|51|5103403|1|19|EDUCAÇÃO FÍSICA|1|0114E03|2|1|1|1|0|3260|30AUG1976:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0||4.0||||0||1||772|||||0|||||0||||||||||||||||||||56|||||0|||||0|||||||||||||||||||161|18|54|54||56|772
2019|1|1|1|105340|51|5103403|1|20|NUTRIÇÃO|1|0915N01|1|1|1|1|0|3998|01MAR1978:00:00:00||0|||||||||||||1|0|0|0|5.0|||||0||1|1169|||||0|||||0||||||||||||||||||||60|||||0|||||0||||||||||||||||||||279|41|58|58||60|1169
2019|1|1|1|1005348|51|5107602|0|21|CIÊNCIAS CONTÁBEIS|1|0411C01|1|1|1|1|0|3056|01JUL1981:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|1||4.0||4.0||0||1||314||586|||0||0|||0||0||||||||||||||||||48||48|||0||0|||0||0|||||||||||||||||325|23|80|80||96|900
2019|1|1|1|1005348|51|5107602|0|23|PEDAGOGIA|1|0113P01|2|1|1|1|0|3240|21DEC2005:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0||4.0||||0||1||483|||||0|||||0||||||||||||||||||||54|||||0|||||0|||||||||||||||||||167|30|47|47||54|483
2019|1|1|1|1005348|51|5107602|0|24|GEOGRAFIA|1|0114G01|2|1|1|1|0|3200|01JAN1986:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1||||4.0||0||1||||366|||||13|||||0||||||||||||||||||||60|||||20|||||0|||||||||||||||||123|16|52|41||80|379
2019|1|1|1|1005348|51|5107602|0|25|HISTÓRIA|1|0114H01|2|1|1|1|0|2992|05JAN1986:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|1||4.0||4.0||0||1||0||256|||0||11|||0||0||||||||||||||||||0||45|||0||6|||0||0|||||||||||||||||101|20|34|29||51|267
2019|1|1|1|105340|51|5103403|1|26|MATEMÁTICA|1|0114M01|2|1|1|1|0|3328|24OCT1985:00:00:00||0|||||||||||||1|0|0|0|4.0|||||0||1|312|||||37|||||0||||||||||||||||||||66|||||30|||||0||||||||||||||||||||171|13|85|61||96|349
2019|1|1|1|105340|51|5103403|1|27|FÍSICA|1|0114F02|2|1|1|1|0|2850|15SEP1970:00:00:00||0|||||||||||||1|1|0|0|2.0|4.5||||0||1|0|482||||0|21||||0|0|||||||||||||||||||0|90||||0|17||||0|0|||||||||||||||||||217|8|99|86||107|503
2019|1|1|1|105340|51|5103403|1|29|CIÊNCIAS BIOLÓGICAS|1|0114B01|2|1|1|1|0|3200|03AUG1978:00:00:00||0|||||||||||||1|0|0|0|4.0|||||0||1|239|||||0|||||0||||||||||||||||||||43|||||0|||||0||||||||||||||||||||156|23|38|38||43|239
2019|1|1|1|1005348|51|5107602|0|32|CIÊNCIAS BIOLÓGICAS|1|0114B01|2|1|1|1|0|2872|04JUL1988:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1||||4.0||0||1||||288|||||0|||||0||||||||||||||||||||38|||||0|||||0|||||||||||||||||127|13|31|31||38|288
2019|1|1|1|1005348|51|5107602|0|34|MATEMÁTICA|1|0114M01|2|1|1|1|0|3200|01JUL1988:00:00:00||0|||||||||||||0|0|1|1|||4.0|4.0||0||1|||143|161||||7|14||||0|0|||||||||||||||||||35|35||||75|10||||0|0|||||||||||||||||128|10|58|44||155|325
2019|1|1|1|105340|51|5103403|1|36|CIÊNCIA DA COMPUTAÇÃO|1|0614C01|1|1|1|1|0|3300|26FEB1991:00:00:00||0|||||||||||||1|0|0|0|4.0|||||0||1|512|||||0|||||0||||||||||||||||||||52|||||0|||||0||||||||||||||||||||193|21|52|52||52|512
2019|1|1|1|105340|51|5103403|1|37|MEDICINA VETERINÁRIA|1|0841M01|1|1|1|1|0|4160|21MAY1992:00:00:00||1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|5.0|||||0||1|1179|||||0|||||0||||||||||||||||||||60|||||0|||||0||||||||||||||||||||311|43|56|56||60|1179
2019|1|1|1|105340|51|5103403|1|44|ARQUITETURA E URBANISMO|1|0731A02|1|1|1|1|0|3600|20DEC1994:00:00:00||0|||||||||||||1|0|0|0|5.0|||||0||1|862|||||21|||||0||||||||||||||||||||63|||||3|||||0||||||||||||||||||||281|34|63|60||66|883
2019|1|1|1|1005347|51|5106653|0|18354|MATEMÁTICA|1|0114M01|2|1|1|1|0|3000|01SEP1987:00:00:00||0|||||||||||||0|0|0|1||||4.0||0||1||||144|||||4|||||0||||||||||||||||||||45|||||15|||||0|||||||||||||||||70|5|36|34||60|148
2019|1|1|1|1005347|51|5106653|0|21442|FARMÁCIA|1|0916F01|1|1|1|1|0|4288|09MAR1999:00:00:00||1|0|0|0|0|0|0|0|1|1|0|0|0|1|0|0|0|5.0|||||0||1|467|||||0|||||0||||||||||||||||||||45|||||0|||||0||||||||||||||||||||150|17|40|40||45|467
